time,sewer_and_water,power,roads_and_bridges,medical,buildings,shake_intensity,location,impact
4/6/2020 0:15,4.0,7,5,0.0,9.0,-1.0,3,5.0
4/6/2020 0:15,8.0,3,1,7.0,10.0,-1.0,6,5.8
4/6/2020 0:15,3.0,10,9,-1.0,10.0,-1.0,8,8.0
4/6/2020 0:15,7.0,0,10,-1.0,4.0,-1.0,8,5.25
4/6/2020 0:15,9.0,10,9,-1.0,6.0,-1.0,8,8.5
4/6/2020 0:15,9.0,0,3,-1.0,4.0,-1.0,8,4.0
4/6/2020 0:15,10.0,4,7,-1.0,2.0,-1.0,12,5.75
4/6/2020 0:20,0.0,7,10,10.0,1.0,-1.0,3,5.6
4/6/2020 0:20,10.0,3,10,9.0,0.0,-1.0,6,6.4
4/6/2020 0:20,0.0,5,4,-1.0,8.0,-1.0,15,4.25
4/6/2020 0:20,7.0,5,4,3.0,9.0,-1.0,16,5.6
4/6/2020 0:25,3.0,3,5,4.0,4.0,-1.0,3,3.8
4/6/2020 0:25,5.0,3,9,4.0,2.0,-1.0,3,4.6
4/6/2020 0:25,1.0,5,4,1.0,8.0,-1.0,6,3.8
4/6/2020 0:25,3.0,10,2,-1.0,3.0,-1.0,8,4.5
4/6/2020 0:25,0.0,4,9,-1.0,3.0,-1.0,8,4.0
4/6/2020 0:25,9.0,0,5,-1.0,3.0,-1.0,15,4.25
4/6/2020 0:25,6.0,4,0,-1.0,3.0,-1.0,15,3.25
4/6/2020 0:25,2.0,0,7,-1.0,9.0,-1.0,17,4.5
4/6/2020 0:30,10.0,3,6,-1.0,3.0,-1.0,4,5.5
4/6/2020 0:30,2.0,4,4,-1.0,3.0,-1.0,18,3.25
4/6/2020 0:30,9.0,10,6,-1.0,0.0,1.0,19,5.2
4/6/2020 0:35,2.0,10,3,5.0,5.0,-1.0,1,5.0
4/6/2020 0:35,1.0,8,2,-1.0,10.0,1.0,2,4.4
4/6/2020 0:35,8.0,5,7,-1.0,2.0,-1.0,2,5.5
4/6/2020 0:35,5.0,9,7,4.0,2.0,-1.0,3,5.4
4/6/2020 0:35,10.0,0,10,8.0,3.0,-1.0,3,6.2
4/6/2020 0:35,8.0,9,1,6.0,7.0,-1.0,9,6.2
4/6/2020 0:35,2.0,0,3,-1.0,4.0,-1.0,17,2.25
4/6/2020 0:40,5.0,4,2,-1.0,3.0,-1.0,2,3.5
4/6/2020 0:40,7.0,8,1,-1.0,2.0,1.0,2,3.8
4/6/2020 0:40,10.0,2,10,6.0,1.0,-1.0,3,5.8
4/6/2020 0:40,10.0,2,0,6.0,5.0,-1.0,3,4.6
4/6/2020 0:40,0.0,8,4,7.0,6.0,-1.0,5,5.0
4/6/2020 0:40,5.0,1,7,1.0,8.0,-1.0,5,4.4
4/6/2020 0:40,10.0,7,0,8.0,5.0,0.0,6,5.0
4/6/2020 0:40,10.0,3,5,2.0,9.0,-1.0,6,5.8
4/6/2020 0:40,4.0,5,7,-1.0,3.0,1.0,19,4.0
4/6/2020 0:45,10.0,6,1,-1.0,5.0,-1.0,2,5.5
4/6/2020 0:45,9.0,8,2,-1.0,8.0,-1.0,2,6.75
4/6/2020 0:45,10.0,4,8,1.0,0.0,-1.0,6,4.6
4/6/2020 0:45,0.0,7,6,-1.0,0.0,-1.0,8,3.25
4/6/2020 0:45,4.0,4,8,2.0,5.0,-1.0,9,4.6
4/6/2020 0:50,8.0,10,10,-1.0,0.0,0.0,2,5.6
4/6/2020 0:50,0.0,4,3,10.0,3.0,-1.0,3,4.0
4/6/2020 0:50,9.0,1,2,5.0,1.0,-1.0,5,3.6
4/6/2020 0:50,7.0,0,9,3.0,9.0,-1.0,9,5.6
4/6/2020 0:50,2.0,3,0,-1.0,9.0,-1.0,14,3.5
4/6/2020 0:50,4.0,2,10,-1.0,3.0,-1.0,14,4.75
4/6/2020 0:50,9.0,7,1,-1.0,9.0,-1.0,15,6.5
4/6/2020 0:50,9.0,0,9,-1.0,9.0,1.0,19,5.6
4/6/2020 0:55,8.0,4,7,-1.0,6.0,-1.0,2,6.25
4/6/2020 0:55,9.0,0,1,-1.0,5.0,-1.0,4,3.75
4/6/2020 0:55,7.0,5,5,7.0,3.0,1.0,6,4.666666666666667
4/6/2020 0:55,7.0,8,4,-1.0,1.0,-1.0,14,5.0
4/6/2020 0:55,0.0,5,8,-1.0,10.0,-1.0,15,5.75
4/6/2020 0:55,10.0,4,6,-1.0,3.0,-1.0,15,5.75
4/6/2020 0:55,10.0,7,7,-1.0,0.0,-1.0,15,6.0
4/6/2020 0:55,10.0,5,10,-1.0,4.0,0.0,15,5.8
4/6/2020 0:55,6.0,2,2,0.0,1.0,-1.0,19,2.2
4/6/2020 1:00,0.0,3,5,2.0,7.0,0.0,3,2.8333333333333335
4/6/2020 1:00,1.0,6,4,0.0,10.0,-1.0,6,4.2
4/6/2020 1:00,10.0,10,10,7.0,2.0,-1.0,6,7.8
4/6/2020 1:00,7.0,10,4,8.0,7.0,-1.0,9,7.2
4/6/2020 1:00,10.0,4,4,1.0,1.0,-1.0,9,4.0
4/6/2020 1:00,10.0,10,10,-1.0,10.0,-1.0,12,10.0
4/6/2020 1:00,8.0,7,0,-1.0,0.0,0.0,14,3.0
4/6/2020 1:00,10.0,5,10,-1.0,7.0,-1.0,14,8.0
4/6/2020 1:00,10.0,3,5,-1.0,0.0,-1.0,15,4.5
4/6/2020 1:05,10.0,9,3,-1.0,9.0,1.0,2,6.4
4/6/2020 1:05,3.0,0,1,-1.0,7.0,-1.0,2,2.75
4/6/2020 1:05,7.0,2,3,6.0,10.0,-1.0,6,5.6
4/6/2020 1:05,7.0,9,10,0.0,1.0,-1.0,9,5.4
4/6/2020 1:05,5.0,10,7,10.0,5.0,-1.0,11,7.4
4/6/2020 1:05,0.0,10,4,-1.0,9.0,-1.0,12,5.75
4/6/2020 1:05,0.0,5,0,-1.0,2.0,-1.0,15,1.75
4/6/2020 1:10,0.0,8,8,10.0,8.0,-1.0,3,6.8
4/6/2020 1:10,1.0,3,2,0.0,3.0,-1.0,3,1.8
4/6/2020 1:10,9.0,1,8,10.0,7.0,0.0,6,5.833333333333333
4/6/2020 1:10,5.0,9,2,4.0,2.0,-1.0,6,4.4
4/6/2020 1:10,10.0,6,7,-1.0,10.0,-1.0,8,8.25
4/6/2020 1:10,1.0,6,4,10.0,6.0,-1.0,9,5.4
4/6/2020 1:10,7.0,3,9,-1.0,8.0,-1.0,13,6.75
4/6/2020 1:10,10.0,2,9,10.0,6.0,-1.0,16,7.4
4/6/2020 1:10,10.0,6,1,6.0,8.0,-1.0,16,6.2
4/6/2020 1:15,10.0,2,10,-1.0,8.0,-1.0,2,7.5
4/6/2020 1:15,6.0,10,3,2.0,4.0,-1.0,3,5.0
4/6/2020 1:15,2.0,6,4,6.0,7.0,-1.0,6,5.0
4/6/2020 1:15,6.0,0,2,8.0,2.0,-1.0,6,3.6
4/6/2020 1:15,5.0,8,7,2.0,0.0,-1.0,6,4.4
4/6/2020 1:15,5.0,5,0,-1.0,10.0,-1.0,8,5.0
4/6/2020 1:15,9.0,2,0,-1.0,9.0,-1.0,8,5.0
4/6/2020 1:15,1.0,1,10,-1.0,2.0,-1.0,8,3.5
4/6/2020 1:15,10.0,3,7,-1.0,2.0,-1.0,8,5.5
4/6/2020 1:15,8.0,9,1,3.0,1.0,-1.0,9,4.4
4/6/2020 1:15,2.0,8,10,-1.0,1.0,-1.0,13,5.25
4/6/2020 1:15,8.0,9,4,-1.0,10.0,-1.0,13,7.75
4/6/2020 1:15,4.0,10,5,-1.0,10.0,-1.0,14,7.25
4/6/2020 1:15,1.0,5,9,-1.0,10.0,0.0,18,5.0
4/6/2020 1:20,10.0,7,6,7.0,3.0,-1.0,1,6.6
4/6/2020 1:20,10.0,3,0,-1.0,3.0,-1.0,2,4.0
4/6/2020 1:20,6.0,4,8,9.0,10.0,-1.0,3,7.4
4/6/2020 1:20,0.0,7,2,2.0,4.0,-1.0,9,3.0
4/6/2020 1:20,10.0,0,7,6.0,6.0,-1.0,11,5.8
4/6/2020 1:20,4.0,9,10,-1.0,6.0,1.0,15,6.0
4/6/2020 1:25,5.0,0,6,3.0,6.0,1.0,1,3.5
4/6/2020 1:25,6.0,2,7,3.0,8.0,-1.0,9,5.2
4/6/2020 1:25,10.0,5,2,-1.0,4.0,-1.0,12,5.25
4/6/2020 1:25,7.0,10,2,-1.0,1.0,-1.0,14,5.0
4/6/2020 1:25,2.0,5,10,-1.0,4.0,-1.0,14,5.25
4/6/2020 1:25,4.0,10,10,-1.0,10.0,-1.0,18,8.5
4/6/2020 1:30,5.0,10,7,6.0,5.0,-1.0,3,6.6
4/6/2020 1:30,2.0,1,2,8.0,7.0,0.0,6,3.3333333333333335
4/6/2020 1:30,10.0,4,2,6.0,7.0,-1.0,11,5.8
4/6/2020 1:30,8.0,7,1,-1.0,2.0,-1.0,19,4.5
4/6/2020 1:35,9.0,10,2,4.0,0.0,-1.0,1,5.0
4/6/2020 1:35,2.0,3,5,4.0,10.0,-1.0,5,4.8
4/6/2020 1:35,6.0,3,10,7.0,2.0,-1.0,6,5.6
4/6/2020 1:35,2.0,9,10,10.0,4.0,-1.0,11,7.0
4/6/2020 1:35,1.0,10,7,-1.0,3.0,-1.0,12,5.25
4/6/2020 1:35,2.0,10,7,-1.0,8.0,-1.0,18,6.75
4/6/2020 1:40,5.0,3,6,-1.0,4.0,-1.0,2,4.5
4/6/2020 1:40,0.0,3,0,10.0,8.0,-1.0,3,4.2
4/6/2020 1:40,2.0,6,10,3.0,3.0,-1.0,3,4.8
4/6/2020 1:40,1.0,7,7,-1.0,7.0,-1.0,10,5.5
4/6/2020 1:40,6.0,9,3,-1.0,8.0,1.0,15,5.4
4/6/2020 1:40,5.0,9,7,-1.0,4.0,-1.0,15,6.25
4/6/2020 1:45,1.0,3,2,-1.0,7.0,-1.0,2,3.25
4/6/2020 1:45,8.0,1,6,-1.0,4.0,1.0,2,4.0
4/6/2020 1:45,10.0,0,5,1.0,5.0,-1.0,3,4.2
4/6/2020 1:45,3.0,0,10,6.0,6.0,-1.0,3,5.0
4/6/2020 1:45,8.0,8,10,-1.0,10.0,-1.0,8,9.0
4/6/2020 1:50,6.0,3,9,-1.0,0.0,1.0,2,3.8
4/6/2020 1:50,9.0,0,2,3.0,9.0,-1.0,3,4.6
4/6/2020 1:50,9.0,5,10,4.0,9.0,-1.0,3,7.4
4/6/2020 1:50,9.0,7,0,5.0,5.0,-1.0,5,5.2
4/6/2020 1:50,8.0,5,6,-1.0,4.0,1.0,8,4.8
4/6/2020 1:50,5.0,7,8,-1.0,9.0,-1.0,8,7.25
4/6/2020 1:50,4.0,0,8,-1.0,9.0,-1.0,8,5.25
4/6/2020 1:50,4.0,1,6,7.0,10.0,-1.0,9,5.6
4/6/2020 1:50,8.0,7,3,-1.0,8.0,-1.0,19,6.5
4/6/2020 1:55,4.0,1,7,-1.0,4.0,-1.0,2,4.0
4/6/2020 1:55,2.0,3,1,-1.0,10.0,-1.0,8,4.0
4/6/2020 1:55,10.0,6,0,-1.0,10.0,-1.0,8,6.5
4/6/2020 1:55,10.0,2,1,9.0,9.0,-1.0,9,6.2
4/6/2020 1:55,10.0,7,8,3.0,10.0,-1.0,9,7.6
4/6/2020 1:55,1.0,0,3,4.0,1.0,-1.0,9,1.8
4/6/2020 1:55,0.0,9,10,5.0,10.0,-1.0,9,6.8
4/6/2020 1:55,7.0,5,6,-1.0,6.0,-1.0,15,6.0
4/6/2020 1:55,7.0,6,2,-1.0,1.0,-1.0,15,4.0
4/6/2020 1:55,10.0,1,6,-1.0,0.0,-1.0,18,4.25
4/6/2020 2:00,6.0,1,0,10.0,10.0,-1.0,1,5.4
4/6/2020 2:00,10.0,2,9,-1.0,1.0,-1.0,19,5.5
4/6/2020 2:05,0.0,9,5,-1.0,10.0,-1.0,2,6.0
4/6/2020 2:05,3.0,8,6,-1.0,0.0,-1.0,2,4.25
4/6/2020 2:05,10.0,8,8,-1.0,0.0,-1.0,4,6.5
4/6/2020 2:05,9.0,10,5,10.0,1.0,-1.0,9,7.0
4/6/2020 2:05,9.0,2,10,2.0,3.0,-1.0,11,5.2
4/6/2020 2:05,6.0,8,8,4.0,8.0,-1.0,11,6.8
4/6/2020 2:05,1.0,5,1,-1.0,0.0,-1.0,14,1.75
4/6/2020 2:05,7.0,4,9,-1.0,8.0,-1.0,15,7.0
4/6/2020 2:05,4.0,9,9,-1.0,10.0,-1.0,15,8.0
4/6/2020 2:10,6.0,9,5,-1.0,5.0,-1.0,2,6.25
4/6/2020 2:10,10.0,0,2,0.0,6.0,-1.0,3,3.6
4/6/2020 2:10,3.0,4,0,2.0,10.0,-1.0,6,3.8
4/6/2020 2:10,10.0,1,10,-1.0,9.0,-1.0,8,7.5
4/6/2020 2:10,8.0,4,6,-1.0,10.0,-1.0,8,7.0
4/6/2020 2:10,0.0,3,9,-1.0,9.0,-1.0,15,5.25
4/6/2020 2:15,3.0,9,8,9.0,9.0,-1.0,1,7.6
4/6/2020 2:15,9.0,9,1,6.0,2.0,-1.0,1,5.4
4/6/2020 2:15,8.0,5,3,9.0,4.0,-1.0,6,5.8
4/6/2020 2:15,10.0,9,10,4.0,3.0,-1.0,6,7.2
4/6/2020 2:15,7.0,8,10,-1.0,6.0,-1.0,8,7.75
4/6/2020 2:15,8.0,10,4,-1.0,6.0,-1.0,10,7.0
4/6/2020 2:15,9.0,7,10,-1.0,0.0,-1.0,13,6.5
4/6/2020 2:15,4.0,0,0,-1.0,10.0,-1.0,15,3.5
4/6/2020 2:15,10.0,10,5,-1.0,0.0,-1.0,18,6.25
4/6/2020 2:20,3.0,0,10,10.0,6.0,-1.0,1,5.8
4/6/2020 2:20,2.0,4,4,-1.0,2.0,0.0,2,2.4
4/6/2020 2:20,5.0,1,1,3.0,2.0,-1.0,3,2.4
4/6/2020 2:20,2.0,6,6,10.0,1.0,0.0,3,4.166666666666667
4/6/2020 2:20,7.0,10,10,4.0,10.0,-1.0,6,8.2
4/6/2020 2:20,8.0,5,5,2.0,10.0,-1.0,6,6.0
4/6/2020 2:20,10.0,10,0,2.0,10.0,-1.0,9,6.4
4/6/2020 2:20,6.0,10,10,-1.0,1.0,0.0,12,5.4
4/6/2020 2:25,0.0,8,2,8.0,10.0,-1.0,1,5.6
4/6/2020 2:25,8.0,10,5,7.0,4.0,-1.0,1,6.8
4/6/2020 2:25,4.0,10,10,5.0,3.0,-1.0,3,6.4
4/6/2020 2:25,10.0,10,8,-1.0,10.0,-1.0,4,9.5
4/6/2020 2:25,5.0,0,10,-1.0,7.0,-1.0,10,5.5
4/6/2020 2:25,10.0,7,7,9.0,9.0,1.0,11,7.166666666666667
4/6/2020 2:25,8.0,10,10,-1.0,2.0,-1.0,14,7.5
4/6/2020 2:25,9.0,6,9,-1.0,0.0,-1.0,19,6.0
4/6/2020 2:30,5.0,0,4,4.0,10.0,-1.0,1,4.6
4/6/2020 2:30,7.0,0,4,8.0,3.0,-1.0,3,4.4
4/6/2020 2:30,3.0,1,5,-1.0,8.0,-1.0,8,4.25
4/6/2020 2:30,10.0,1,4,3.0,8.0,-1.0,9,5.2
4/6/2020 2:30,7.0,10,7,-1.0,10.0,1.0,12,7.0
4/6/2020 2:30,5.0,6,2,-1.0,10.0,-1.0,19,5.75
4/6/2020 2:35,5.0,8,2,-1.0,10.0,-1.0,4,6.25
4/6/2020 2:35,2.0,7,2,5.0,9.0,-1.0,6,5.0
4/6/2020 2:35,0.0,1,3,2.0,8.0,-1.0,6,2.8
4/6/2020 2:35,2.0,3,6,-1.0,5.0,-1.0,8,4.0
4/6/2020 2:35,3.0,10,1,-1.0,1.0,1.0,8,3.2
4/6/2020 2:35,0.0,10,5,-1.0,6.0,-1.0,8,5.25
4/6/2020 2:35,9.0,7,0,-1.0,3.0,-1.0,8,4.75
4/6/2020 2:35,0.0,8,10,10.0,9.0,-1.0,9,7.4
4/6/2020 2:35,10.0,8,4,5.0,0.0,-1.0,9,5.4
4/6/2020 2:35,0.0,1,2,-1.0,3.0,-1.0,15,1.5
4/6/2020 2:35,8.0,10,6,-1.0,1.0,-1.0,19,6.25
4/6/2020 2:40,0.0,3,10,-1.0,1.0,-1.0,2,3.5
4/6/2020 2:40,10.0,3,4,10.0,8.0,0.0,3,5.833333333333333
4/6/2020 2:40,8.0,5,2,10.0,7.0,1.0,6,5.5
4/6/2020 2:40,5.0,3,6,-1.0,10.0,-1.0,8,6.0
4/6/2020 2:40,10.0,10,5,1.0,8.0,-1.0,9,6.8
4/6/2020 2:40,5.0,5,10,-1.0,4.0,-1.0,14,6.0
4/6/2020 2:40,10.0,10,10,0.0,9.0,-1.0,16,7.8
4/6/2020 2:45,10.0,8,8,2.0,4.0,-1.0,2,6.4
4/6/2020 2:45,9.0,2,10,-1.0,7.0,-1.0,2,7.0
4/6/2020 2:45,7.0,10,0,0.0,10.0,0.0,6,4.5
4/6/2020 2:45,6.0,5,6,10.0,10.0,-1.0,11,7.4
4/6/2020 2:45,0.0,0,8,-1.0,7.0,-1.0,15,3.75
4/6/2020 2:45,7.0,4,2,-1.0,8.0,-1.0,19,5.25
4/6/2020 2:50,7.0,7,5,10.0,8.0,-1.0,5,7.4
4/6/2020 2:50,9.0,9,7,10.0,4.0,-1.0,6,7.8
4/6/2020 2:50,3.0,3,3,1.0,10.0,-1.0,6,4.0
4/6/2020 2:50,6.0,10,10,-1.0,5.0,1.0,8,6.4
4/6/2020 2:50,5.0,8,9,8.0,10.0,-1.0,9,8.0
4/6/2020 2:50,3.0,6,10,5.0,4.0,-1.0,9,5.6
4/6/2020 2:50,0.0,1,0,-1.0,7.0,-1.0,10,2.0
4/6/2020 2:50,0.0,1,8,0.0,3.0,-1.0,11,2.4
4/6/2020 2:50,10.0,4,3,-1.0,10.0,-1.0,15,6.75
4/6/2020 2:50,6.0,9,6,-1.0,7.0,-1.0,15,7.0
4/6/2020 2:50,3.0,4,10,-1.0,8.0,-1.0,15,6.25
4/6/2020 2:55,10.0,10,10,-1.0,5.0,-1.0,2,8.75
4/6/2020 2:55,6.0,3,9,1.0,10.0,-1.0,6,5.8
4/6/2020 2:55,10.0,4,0,3.0,3.0,-1.0,9,4.0
4/6/2020 2:55,4.0,10,7,0.0,9.0,-1.0,9,6.0
4/6/2020 2:55,10.0,3,1,5.0,4.0,0.0,11,3.8333333333333335
4/6/2020 2:55,3.0,8,7,-1.0,0.0,0.0,12,3.6
4/6/2020 2:55,1.0,1,8,-1.0,4.0,-1.0,15,3.5
4/6/2020 2:55,10.0,0,3,10.0,10.0,-1.0,16,6.6
4/6/2020 3:00,10.0,2,0,10.0,10.0,-1.0,1,6.4
4/6/2020 3:00,2.0,2,10,-1.0,2.0,-1.0,2,4.0
4/6/2020 3:00,6.0,8,3,-1.0,4.0,-1.0,2,5.25
4/6/2020 3:00,0.0,0,9,-1.0,5.0,1.0,2,3.0
4/6/2020 3:00,4.0,10,3,2.0,2.0,-1.0,3,4.2
4/6/2020 3:00,4.0,2,2,7.0,1.0,-1.0,5,3.2
4/6/2020 3:00,9.0,3,2,4.0,2.0,-1.0,6,4.0
4/6/2020 3:00,0.0,7,5,-1.0,0.0,-1.0,8,3.0
4/6/2020 3:00,3.0,1,8,3.0,3.0,-1.0,11,3.6
4/6/2020 3:00,3.0,9,5,-1.0,1.0,-1.0,12,4.5
4/6/2020 3:00,8.0,8,1,-1.0,5.0,-1.0,14,5.5
4/6/2020 3:00,7.0,6,7,-1.0,4.0,1.0,15,5.0
4/6/2020 3:00,2.0,10,10,-1.0,7.0,-1.0,19,7.25
4/6/2020 3:05,4.0,9,8,8.0,7.0,-1.0,1,7.2
4/6/2020 3:05,10.0,2,1,-1.0,4.0,-1.0,2,4.25
4/6/2020 3:05,3.0,10,4,10.0,2.0,1.0,3,5.0
4/6/2020 3:05,7.0,6,1,8.0,6.0,-1.0,3,5.6
4/6/2020 3:05,5.0,10,7,4.0,10.0,-1.0,6,7.2
4/6/2020 3:05,8.0,9,9,10.0,9.0,-1.0,6,9.0
4/6/2020 3:05,0.0,9,4,-1.0,3.0,-1.0,8,4.0
4/6/2020 3:05,0.0,9,8,6.0,10.0,-1.0,9,6.6
4/6/2020 3:10,10.0,4,5,-1.0,10.0,-1.0,2,7.25
4/6/2020 3:10,5.0,2,6,7.0,4.0,-1.0,6,4.8
4/6/2020 3:10,10.0,2,2,8.0,3.0,-1.0,6,5.0
4/6/2020 3:10,10.0,3,6,-1.0,2.0,-1.0,14,5.25
4/6/2020 3:10,4.0,4,0,-1.0,6.0,-1.0,15,3.5
4/6/2020 3:10,0.0,6,10,-1.0,1.0,-1.0,18,4.25
4/6/2020 3:15,6.0,7,7,-1.0,9.0,0.0,2,5.8
4/6/2020 3:15,5.0,9,10,2.0,10.0,-1.0,6,7.2
4/6/2020 3:15,6.0,5,6,-1.0,9.0,-1.0,8,6.5
4/6/2020 3:15,9.0,0,9,-1.0,3.0,-1.0,8,5.25
4/6/2020 3:15,10.0,10,10,2.0,6.0,-1.0,9,7.6
4/6/2020 3:15,3.0,6,0,-1.0,7.0,-1.0,15,4.0
4/6/2020 3:15,7.0,5,7,-1.0,10.0,-1.0,18,7.25
4/6/2020 3:20,4.0,9,8,-1.0,7.0,-1.0,2,7.0
4/6/2020 3:20,7.0,0,0,10.0,9.0,0.0,6,4.333333333333333
4/6/2020 3:20,7.0,10,2,-1.0,5.0,-1.0,8,6.0
4/6/2020 3:20,0.0,8,10,-1.0,10.0,-1.0,10,7.0
4/6/2020 3:20,1.0,5,5,-1.0,4.0,-1.0,15,3.75
4/6/2020 3:25,4.0,0,1,-1.0,3.0,-1.0,2,2.0
4/6/2020 3:25,10.0,1,2,10.0,4.0,-1.0,5,5.4
4/6/2020 3:25,9.0,3,10,8.0,9.0,-1.0,6,7.8
4/6/2020 3:25,8.0,8,3,2.0,2.0,1.0,6,4.0
4/6/2020 3:30,3.0,1,7,-1.0,9.0,-1.0,2,5.0
4/6/2020 3:30,4.0,8,6,2.0,2.0,-1.0,6,4.4
4/6/2020 3:35,10.0,0,3,-1.0,9.0,-1.0,2,5.5
4/6/2020 3:35,10.0,0,5,0.0,10.0,-1.0,3,5.0
4/6/2020 3:35,1.0,2,5,10.0,10.0,-1.0,3,5.6
4/6/2020 3:35,4.0,8,7,10.0,9.0,-1.0,9,7.6
4/6/2020 3:35,9.0,1,0,8.0,9.0,-1.0,9,5.4
4/6/2020 3:35,4.0,5,10,-1.0,7.0,-1.0,12,6.5
4/6/2020 3:35,7.0,6,1,-1.0,8.0,1.0,15,4.6
4/6/2020 3:35,10.0,8,1,10.0,9.0,-1.0,16,7.6
4/6/2020 3:40,4.0,3,6,-1.0,8.0,1.0,2,4.4
4/6/2020 3:40,8.0,8,2,8.0,10.0,-1.0,5,7.2
4/6/2020 3:40,10.0,8,1,5.0,10.0,-1.0,6,6.8
4/6/2020 3:40,10.0,0,8,-1.0,5.0,-1.0,8,5.75
4/6/2020 3:40,0.0,4,9,-1.0,4.0,1.0,8,3.6
4/6/2020 3:40,1.0,10,5,9.0,7.0,-1.0,9,6.4
4/6/2020 3:40,4.0,2,2,3.0,2.0,1.0,16,2.3333333333333335
4/6/2020 3:40,0.0,4,1,-1.0,1.0,-1.0,19,1.5
4/6/2020 3:45,2.0,7,0,2.0,1.0,-1.0,3,2.4
4/6/2020 3:45,3.0,1,1,-1.0,2.0,-1.0,4,1.75
4/6/2020 3:45,1.0,5,4,2.0,10.0,-1.0,5,4.4
4/6/2020 3:45,7.0,4,1,1.0,0.0,1.0,5,2.3333333333333335
4/6/2020 3:45,1.0,3,0,-1.0,2.0,-1.0,8,1.5
4/6/2020 3:45,10.0,0,0,4.0,7.0,-1.0,9,4.2
4/6/2020 3:45,6.0,0,2,-1.0,6.0,-1.0,15,3.5
4/6/2020 3:45,1.0,0,7,-1.0,8.0,-1.0,15,4.0
4/6/2020 3:50,2.0,0,10,3.0,4.0,-1.0,1,3.8
4/6/2020 3:50,9.0,0,8,-1.0,9.0,-1.0,2,6.5
4/6/2020 3:50,4.0,6,6,5.0,6.0,-1.0,6,5.4
4/6/2020 3:50,8.0,2,2,5.0,10.0,-1.0,6,5.4
4/6/2020 3:50,1.0,10,4,-1.0,5.0,-1.0,8,5.0
4/6/2020 3:50,10.0,0,10,-1.0,1.0,-1.0,14,5.25
4/6/2020 3:50,8.0,6,9,-1.0,8.0,-1.0,18,7.75
4/6/2020 3:55,10.0,0,7,3.0,0.0,-1.0,6,4.0
4/6/2020 3:55,4.0,3,3,-1.0,8.0,-1.0,8,4.5
4/6/2020 3:55,7.0,1,9,-1.0,9.0,-1.0,8,6.5
4/6/2020 3:55,7.0,4,8,-1.0,1.0,-1.0,15,5.0
4/6/2020 4:00,9.0,10,0,-1.0,10.0,-1.0,2,7.25
4/6/2020 4:00,3.0,7,6,4.0,10.0,-1.0,6,6.0
4/6/2020 4:00,9.0,2,4,7.0,7.0,-1.0,6,5.8
4/6/2020 4:00,3.0,0,9,6.0,9.0,-1.0,6,5.4
4/6/2020 4:00,4.0,8,6,10.0,3.0,1.0,6,5.333333333333333
4/6/2020 4:00,4.0,9,9,-1.0,1.0,-1.0,8,5.75
4/6/2020 4:00,2.0,1,0,-1.0,8.0,-1.0,8,2.75
